CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.005
0,1,0,0,1,1,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0.011
0,1,1,0,1,1,0
1,1,1,1,1,1,0
0,1,1,1,0,1,0
0,1,1,0,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0
0,0,0,1,1,1,0
1,1,0,0,0,0,0
0,0,0,0,0,1,0
1,0,0,1,1,1,0
1,1,1,0,0,1,0
1,0,0,0,1,0,0
1,1,1,0,1,1,0
1,0,0,1,0,1,0.011
1,1,0,1,0,0,0.005
0,1,0,1,0,1,0.005
0,0,0,0,1,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0.021
0,0,1,1,1,0,0
0,0,1,1,0,0,0.011
0,1,0,0,0,0,0.005
0,0,1,0,0,0,0.005
1,1,1,0,1,0,0
0,1,0,1,1,0,0
1,1,0,1,0,1,0.005
0,1,0,0,0,1,0
1,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,1,0,1,0
0,0,1,1,0,1,0
0,0,0,0,1,0,0
0,0,0,1,0,1,0.005
1,0,1,1,1,0,0
1,1,1,1,0,0,0
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,1,0,1,0,0,0
1,0,0,0,0,0,0.005
0,0,1,0,1,0,0
0,1,0,1,1,1,0
1,0,1,0,1,1,0
0,1,1,0,0,1,0.005
0,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,1,0,1,0.005
1,0,1,0,0,0,0.005
0,1,1,1,1,0,0
0,0,1,0,0,1,0.005
1,1,0,0,1,1,0
0,0,0,1,0,0,0.005
1,0,1,1,1,1,0
0,1,1,1,0,0,0
1,0,1,0,0,1,0
0,0,0,1,1,0,0
1,1,0,0,0,1,0
0,1,1,0,0,0,0.005
